"Time","MwxStbdRelativeHumidity stbd_mast_vaisala"
2025-01-11 04:26:00,77%
2025-01-11 04:28:00,78%
2025-01-11 04:30:00,77%
2025-01-11 04:32:00,76%
2025-01-11 04:34:00,76%
2025-01-11 04:36:00,77%
2025-01-11 04:38:00,76%
2025-01-11 04:40:00,76%
2025-01-11 04:42:00,76%
2025-01-11 04:44:00,76%
2025-01-11 04:46:00,78%
2025-01-11 04:48:00,76%
2025-01-11 04:50:00,77%
2025-01-11 04:52:00,75%
2025-01-11 04:54:00,77%
2025-01-11 04:56:00,77%
2025-01-11 04:58:00,77%
2025-01-11 05:00:00,77%
2025-01-11 05:02:00,77%
2025-01-11 05:04:00,76%
2025-01-11 05:06:00,78%
2025-01-11 05:08:00,78%
2025-01-11 05:10:00,78%
2025-01-11 05:12:00,78%
2025-01-11 05:14:00,77%
2025-01-11 05:16:00,77%
2025-01-11 05:18:00,77%
2025-01-11 05:20:00,76%
2025-01-11 05:22:00,76%
2025-01-11 05:24:00,75%
2025-01-11 05:26:00,77%
2025-01-11 05:28:00,77%
2025-01-11 05:30:00,77%
2025-01-11 05:32:00,76%
2025-01-11 05:34:00,76%
2025-01-11 05:36:00,77%
2025-01-11 05:38:00,76%
2025-01-11 05:40:00,77%
2025-01-11 05:42:00,77%
2025-01-11 05:44:00,76%
2025-01-11 05:46:00,77%
2025-01-11 05:48:00,77%
2025-01-11 05:50:00,77%
2025-01-11 05:52:00,77%
2025-01-11 05:54:00,77%
2025-01-11 05:56:00,77%
2025-01-11 05:58:00,76%
2025-01-11 06:00:00,74%
2025-01-11 06:02:00,75%
2025-01-11 06:04:00,77%
2025-01-11 06:06:00,76%
2025-01-11 06:08:00,77%
2025-01-11 06:10:00,75%
2025-01-11 06:12:00,73%
2025-01-11 06:14:00,75%
2025-01-11 06:16:00,74%
2025-01-11 06:18:00,74%
2025-01-11 06:20:00,75%
2025-01-11 06:22:00,76%
2025-01-11 06:24:00,73%
2025-01-11 06:26:00,76%
2025-01-11 06:28:00,74%
2025-01-11 06:30:00,76%
2025-01-11 06:32:00,74%
2025-01-11 06:34:00,74%
2025-01-11 06:36:00,75%
2025-01-11 06:38:00,76%
2025-01-11 06:40:00,76%
2025-01-11 06:42:00,76%
2025-01-11 06:44:00,76%
2025-01-11 06:46:00,77%
2025-01-11 06:48:00,76%
2025-01-11 06:50:00,78%
2025-01-11 06:52:00,78%
2025-01-11 06:54:00,77%
2025-01-11 06:56:00,77%
2025-01-11 06:58:00,78%
2025-01-11 07:00:00,76%
2025-01-11 07:02:00,76%
2025-01-11 07:04:00,74%
2025-01-11 07:06:00,76%
2025-01-11 07:08:00,76%
2025-01-11 07:10:00,76%
2025-01-11 07:12:00,75%
2025-01-11 07:14:00,76%
2025-01-11 07:16:00,74%
2025-01-11 07:18:00,74%
2025-01-11 07:20:00,75%
2025-01-11 07:22:00,76%
2025-01-11 07:24:00,76%
2025-01-11 07:26:00,75%
2025-01-11 07:28:00,76%
2025-01-11 07:30:00,75%
2025-01-11 07:32:00,76%
2025-01-11 07:34:00,76%
2025-01-11 07:36:00,75%
2025-01-11 07:38:00,75%
2025-01-11 07:40:00,73%
2025-01-11 07:42:00,74%
2025-01-11 07:44:00,73%
2025-01-11 07:46:00,75%
2025-01-11 07:48:00,74%
2025-01-11 07:50:00,73%
2025-01-11 07:52:00,75%
2025-01-11 07:54:00,75%
2025-01-11 07:56:00,73%
2025-01-11 07:58:00,75%
2025-01-11 08:00:00,75%
2025-01-11 08:02:00,76%
2025-01-11 08:04:00,76%
2025-01-11 08:06:00,73%
2025-01-11 08:08:00,74%
2025-01-11 08:10:00,72%
2025-01-11 08:12:00,74%
2025-01-11 08:14:00,74%
2025-01-11 08:16:00,73%
2025-01-11 08:18:00,73%
2025-01-11 08:20:00,74%
2025-01-11 08:22:00,74%
2025-01-11 08:24:00,74%
2025-01-11 08:26:00,75%
2025-01-11 08:28:00,73%
2025-01-11 08:30:00,75%
2025-01-11 08:32:00,75%
2025-01-11 08:34:00,75%
2025-01-11 08:36:00,74%
2025-01-11 08:38:00,75%
2025-01-11 08:40:00,73%
2025-01-11 08:42:00,75%
2025-01-11 08:44:00,73%
2025-01-11 08:46:00,74%
2025-01-11 08:48:00,76%
2025-01-11 08:50:00,75%
2025-01-11 08:52:00,75%
2025-01-11 08:54:00,74%
2025-01-11 08:56:00,75%
2025-01-11 08:58:00,75%
